OBJECTID,GROUP_NAME,GROUP_ID,COMB_DEP_IDs,COMB_NAMES,COMB_DMEA,LONGITUDE,LATITUDE,STATE,COUNTY,COMM_PRIM,COMM_SEC_TER,DEP_TYPE,WORK_TYPE,MODEL,ALTERATION,REFS,PROD_t,PROD_pct_WO3,PROD_WO3_t,PROD_WO3_stu,RESOUR_t,RESOUR_pct_WO3,RESOUR_WO3,RANK,URL
465,Kirby Mine,465,10045081 | 10173605,Kirby Mine | Fayant and Blaine | Kirby | Upper Kirby Pit | NBMG Sample Site 2614.,,-117.2735902,41.1727309,Nevada,Humboldt,W,"MN, CU, W",,Surface | Underground,42: W skarn,,"Hess and Larsen, 1922 | Bonham and others, 1985 | Hobbs, 1948 | Stager and Tingley, 1988 | Hobbs and Clabaugh, 1946 | Cavender, 1963 | Koschmann and Bergendahl, 1968 | Willden, 1964 | Hotz and Willden, 1964 | John and Bliss, 1993",6436,0.36,217.5696,24,,,,5,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10045081
466,Knight Prospect,466,10047408 | 10014331,Ed Knight's Claims | Ne End of Mountain King Mine Area | Knight Prospect,,-117.2849834,41.2123463,Nevada,Humboldt,W,,Contact Metamorphic,,42: W skarn,,"Hobbs and Clabaugh, 1946 | Stager and Tingley, 1988 | Hotz and Willden, 1964",,,0,,,,,3,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10047408
467,Last Chance Claims,467,10045000 | 10246529,Golden Tungsten Property | Last Chance Property,,-118.6986415,41.8482028,Nevada,Humboldt,W,,Contact Metamorphic,,42: W skarn,,"Stager and Tingley, 1988 | Willden, 1964 | Kerr, 1946 | John and Bliss, 1993",1,0.58,0.6,5,,,,5,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10045000
468,Ledge Mine,468,10045046 | 10295279 | 10197683,Johnson | January | Wild Horse | Ledge Mine | Paradise,,-117.6380578,41.3593939,Nevada,Humboldt,W,"AU, AG",,Unknown,42: W skarn,,"Schilling, 1964 | Chesterman, 1942 | Stager and Tingley, 1988 | Willden, 1964 | John and Bliss, 1993",188,0.75,1.41,156,,,,5,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10045046
469,Little Red's Excavation,469,10044943,Little Red's Excavation,,-117.3870021,40.9673716,Nevada,Humboldt,W,,,,,,"Jones and Papke, 1984",,,,,,,,2,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10044943
470,Mag Deposit,470,10055089,Mag Deposit,,-117.2523222,41.1386756,Nevada,Humboldt,AU,"BA-Barite, MO, AG, F-Fluorite, CO, SB, AS, PB, ZN, W, TL, NI, HG",,Surface,172: Carbonate-hosted Au-Ag,"Hypogene Decalcification, Leaching, Silicification, Kaolinization Are Spatially Associated With Ore. Supergene Weathering Of Pyrite To A Depth Of 200 Ft. Calcite Veining Common Only In Massive, Unmineralized Limestone. Jasperoids Formed Coeval With Au Dep","Foster and Kretschmer, 1991",,,,,,,,1,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055089
471,Marcus Mine,471,10045083 | 10149173 | 10295153,Marcus Mine | Markus Mine | Markus | Harden's Lease | Tungsten Occurrence,,-117.2975564,41.1570803,Nevada,Humboldt,W,W,Contact Metamorphic,Underground,42: W skarn,,"Hobbs, 1948 | Stager and Tingley, 1988 | Hobbs and Clabaugh, 1946 | Cavender, 1963 | Willden, 1964 | Hotz and Willden, 1964 | John and Bliss, 1993",19328,0.5,96.64,1,,,,5,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10045083
472,Mountain King Mine,472,10045084 | 10125149,Mountain King | May Overlap Knight Prospect Ed Knight's Claims | R. E. Claims Pit | Mountain King Mine | NBMG Sample Site 2616 | T.N.T. Lease,,-117.283032,41.2100692,Nevada,Humboldt,W,"MN, CU, FE, W",,,42: W skarn,"Nontronite-Alteration Of Garnet; Mica, Chlorite Altered Zones In Both Hornfels And Granodiorite, Associated With Joint Set: Apatite, Scheelite, Chlorite, Silicification, White Mica, Goethite, Limonite. | ","Bonham and others, 1985 | Stager and Tingley, 1988 | Hobbs and Clabaugh, 1946 | Willden, 1964 | Hotz and Willden, 1964 | John and Bliss, 1993",16252,0.6,97.512,1746,,,,5,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10045084
473,Mountain Queen Mine,473,10111451 | 10222408,T.N.T. Mine | Mountain Queen Mine | Mountain Queen,3203,-117.2712371,41.216084,Nevada,Humboldt,W,"PB, CU, ZN, FE, W",Contact Metamorphic,Surface | Underground,42: W skarn,Bleaching | ,"Stager and Tingley, 1988 | Willden, 1964 | Hotz and Willden, 1964 | Bonham and others, 1985 | John and Bliss, 1993",652,0.87,5.67,6,,,,5,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10111451
474,NBMG Sample Site 2628,474,10149281,NBMG Sample Site 2628,,-118.0966575,40.9024829,Nevada,Humboldt,AU,W,,,,,,,,,,,,,1,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10149281
475,NBMG Sample Site 2970,475,10047296,NBMG Sample Site 2970,,-118.6442374,41.7248136,Nevada,Humboldt,W,,Contact Metamorphic,,42: W skarn,,"Willden, 1964",,,,,,,,3,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10047296
476,Old Bob Claim Group,476,10047274 | 10198362,Old Bob Claim Group | NBMG Sample Site 2629,,-118.1292677,40.9457211,Nevada,Humboldt,AU,"AS, W",,,273: Low-sulfide Au-quartz vein,"Chloritization, Kaolinization In Shear Zone | ",,,,,,,,,1,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10047274
477,Pacific Mine,477,10045087 | 10197869,Pacific | Pacific Mine | Pacific Tunnel,,-117.258852,41.1453409,Nevada,Humboldt,W,"AU, CU",Contact Metamorphic,,42: W skarn,,"Bonham and others, 1985 | ENG & MINING JOUR.,VOL 158,NO.8,1957,P.90-93 | Stager and Tingley, 1988 | Hobbs and Clabaugh, 1946 | Willden, 1964 | Hotz and Willden, 1964",,,13.6077711,15,,,,5,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10045087
478,Paradise Mine (Humboldt County),478,10125517 | 10149669,Paradise Mine | Mccormick Group | Paradise,,-117.5494837,41.7910993,Nevada,Humboldt,"HG, W",,,,,,"Schilling, 1964 | Lindgren, 1915 | Willden, 1964 | Roberts, 1940b",,,,,,,,1,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10125517
479,Pinson Mine,479,10045085 | 10310313,Pinson Mine | Pinson Gold Mine | Ogee Pinson Mini,,-117.2673544,41.1309441,Nevada,Humboldt,AU,"AG, W",replacement/fault zone,,172: Carbonate-hosted Au-Ag | 173: Sediment-hosted Au,,"Long and others, 1998 | NBMG Staff, 1994 | Foster, Joseph M | Hotz and Willden, 1964 | NBMG MI-2003 | Bonham, 1987 | Powers, 1978 | Bonham, 1991 | Willden, 1964",,,,,,,,3,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10045085
480,Pure Gold No. 1 Claim,480,10047294,NBMG Sample Site 2951 | Pure Gold No. 1 Claim,,-118.5805328,41.5518454,Nevada,Humboldt,"AU, AG","CU, W",Vein,,273: Low-sulfide Au-quartz vein,,"Willden, 1964",,,,,,,,1,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10047294
481,Quick Gold Claims,481,10047350 | 10271288,NBMG Sample Site 2309 | Quick Gold Claims,,-117.31584,40.9171264,Nevada,Humboldt,"AU, AG","BA-Barite, CU, AU, W, SB",,,85: Polymetallic veins,Silicification Of Brecciated Rock | ,"Erickson and Marsh, 1974b | Tingley and Maldonado, 1983",,,,,,,,1,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10047350
482,Richmond Mine,482,10045090 | 10295534,Louisa Patent | Richmond Mine | NBMG Sample Site 2617 | Richmond,,-117.289375,41.2076475,Nevada,Humboldt,W,"PB, CU, MO, ZN, AG, W, FE",Contact Metamorphic,Surface,42: W skarn,,"Hess and Larsen, 1922 | NBMG MINING DISTRICT FILE 136, ITEM 25, 1963, USBM UNPUBLISHED DATA. | Stager and Tingley, 1988 | Hobbs and Clabaugh, 1946 | Willden, 1964 | Hotz and Willden, 1964 | John and Bliss, 1993",31125,0.44,136.95,151,,,,5,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10045090
483,Riley Extension,483,10149720 | 10104002,NBMG Sample Site 2611 | Riley Extension,,-117.253515,41.192738,Nevada,Humboldt,W,"PB, CU, MO, ZN, AG, W",Contact Metamorphic,Surface | Underground,42: W skarn,"Silicification, Bleaching","Schilling, 1979 | Stager and Tingley, 1988 | Hobbs and Clabaugh, 1946 | Hotz and Willden, 1964 | Willden, 1964",,,6.35029318,7,,,,5,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10149720
484,Riley Mine,484,10037016 | 10008844 | 10222483,Osgood Range Deposits: Richmond | Granite Creek | Riley Mine | Dernan Property | Kirby | NBMG Sample Site 2613 | Porvenir | Riley | Reilly Mine,,-117.2508181,41.1891499,Nevada,Humboldt,"AU, W","BA-Barite, MN, MO, BE, AG, BI, Metal, CO, CU, PB, AU, ZN, TI, W, NI, FE",Contact Metamorphic,Surface | Underground,42: W skarn,,"Lemmon and Tweto, 1962 | Holmes, 1946 | Hess and Larsen, 1917 | Hobbs and Clabaugh, 1946 | Hotz and Willden, 1964 | Schilling, 1962 | Schilling, 1979 | Stager and Tingley, 1988 | Koschmann and Bergendahl, 1968 | Willden, 1964 | John and Bliss, 1993",848457,0.59,56,337,,,,10,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10037016
485,Roberts Copper Mine,485,10045037,Roberts Copper Mine | Patterson Property | NBMG Sample Site 2442 | Cove Meadow Deposit | Ne Plus Ultra Claims Patented,,-118.8078806,41.5637726,Nevada,Humboldt,CU,"AU, AG, FE, W",,,85: Polymetallic veins,"Silicification, Chloritization","Willden, 1964 | Trengove, 1950 | Bonham and others, 1985",,,,,,,,1,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10045037
486,Saddle Mine,486,10045002 | 10047513 | 10159754 | 10135095 | 10149764,NBMG Sample Site 2965 | Barnes & Noviak Prospect | NBMG Sample Site 2966 | Saddle Mines | Saddle Prospect | 2967 | Saddle,3782,-118.6413668,41.5950584,Nevada,Humboldt,"AU, AG, W","MO, CU, PB, AS, ZN, W",Contact Metamorphic | Vein,,42: W skarn | 273: Low-sulfide Au-quartz vein,,"Schilling, 1964 | Bonham and others, 1985 | Stager and Tingley, 1988 | Willden, 1964 | John and Bliss, 1993",213,0.48,1.2,113,,,,5,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10045002
487,Scheelite Prospect,487,10111448 | 10271436 | 10149195 | 10045047,Sheelite Mine | Scheelite | Scheelite Prospect | Scheelite Mine,,-117.9257218,41.3132033,Nevada,Humboldt,W,,,,42: W skarn,,"Lincoln, 1923 | Stager and Tingley, 1988 | Willden, 1964",,,0,,,,,3,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10111448
488,Silver Hill Claims,488,10047305,Silver Hill Claims | Probably Same As Watterson Mine | NBMG Sample Site 499,,-117.4440778,40.8790895,Nevada,Humboldt,"PB, CU, AG, W",ZN,,Surface,59: Skarn Cu,Silicification Or Rock In Shear Zone,"Erickson and Marsh, 1974a | Jones and Papke, 1984 | Schilling, 1984",,,,,,,,3,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10047305
489,Silver King Mine (Humboldt),489,10043949,NBMG Sample Site 2306 | Silver King Mine | Kramer-Silver King,,-117.3191642,40.9391631,Nevada,Humboldt,AG,"BA-Barite, PB, CU, AS, ZN, V, W, SB",,Surface | Underground,85: Polymetallic veins,Silicification,"Erickson and Marsh, 1974b | Vanderburg, 1938a | Willden, 1964",,,,,,,,1,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10043949
