OID_,source_ID,Lat_NAD83,Long_NAD83,dep_id,mrds_id,mas_id,site_name,names
376,MRDS_377,46.771563401400002,-112.326707157000001,10019447,DC10495, ,Windy Ridge Prospects, 
377,MRDS_378,45.608183577600002,-113.085087232000006,10220827, ,0300010068,Wise River Placer, 
378,MRDS_379,46.041593472999999,-112.395267290000007,10173200,D001161,0300430534,Woodville Deposit, 
379,MRDS_380,44.534583716299998,-113.518087343999994,10168971, ,0160590873,Yellow Peak Prospect,"Prospect, Lemhi Range Rare Ii Area"
380,MRDS_381,44.926813850899997,-115.332616915000003,10008771,D001142, ,Yellow Pine Deposit, 
381,MRDS_382,46.949903207399998,-110.500817514000005,10008781,D001158, ,Yogo Peak Deposits, 
382,MRDS_383,46.885983471999999,-113.141706962000001,10148534,D006905,0300770083,Your Name Placer, 
383,MRDS_384,45.476104674299997,-112.804153982000003, , , ,Adams Peak claims (Twin Adams Mountain claims), 
384,MRDS_385,45.229160360000002,-113.944431574999996, , , ,"Queen of the Hills mine (Amagosa, Queen and Crescent)", 
385,MRDS_386,46.341507795100000,-112.079664382999994, , , ,Beavertown Cu-Mo prospect, 
