country,ms_uri,source_id,record_id,state_or_province,crs,other_names,site_name,commodity,deposit_type,link_method,GroupID,loc_GroupID,GroupID_location
United States,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__029b95bc4aaf1aad1bd4e7a6c502f343b26cfbe6213d35277e57bb486f46bab176,https://api.cdr.land/v1/docs/documents,029b95bc4aaf1aad1bd4e7a6c502f343b26cfbe6213d35277e57bb486f46bab176,Nevada,EPSG:4326,"", Clayton Valley South  in Nevada,Lithium,"Lacustrine clay lithium,Lacustrine brine lithium,Lacustrine brine potash,Lacustrine zeolite (± Li, B),Low Iron alkali-calcic",TXT,https://api.cdr.land/v1/docs/documents0,https://api.cdr.land/v1/docs/documents0,GROUP20
United States,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0208b2323ad3f39c21209360b865d3c238bae45b77fe4e5b98bfd0c5e9a61654a5,https://api.cdr.land/v1/docs/documents,0208b2323ad3f39c21209360b865d3c238bae45b77fe4e5b98bfd0c5e9a61654a5,Nevada,"","",Clayton Valley ,Lithium,"MVT fluorspar,MVT barite,Lacustrine brine lithium,Lacustrine clay lithium,Unconformity- related REE,Lithium-rich mudstones and claystones,Lithium brines",TXT,https://api.cdr.land/v1/docs/documents0,https://api.cdr.land/v1/docs/documents0,GROUP20
United States,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02478596274d6b83aba464b254cf1681f057fb507e2b7bd03dd7b70eabf0078a43,https://api.cdr.land/v1/docs/documents,02478596274d6b83aba464b254cf1681f057fb507e2b7bd03dd7b70eabf0078a43,Nevada,EPSG:4326,"",Clayton Valley ,Lithium,"MVT zinc-lead,Lithium-rich mudstones and claystones,Lacustrine brine lithium,Carlin-type gold,Lacustrine clay lithium,MVT fluorspar,Drilling for brines in the deep basin",TXT,https://api.cdr.land/v1/docs/documents0,https://api.cdr.land/v1/docs/documents0,GROUP20
United States,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02d2ee61c9e8155c5a72cbdb2d00178904c7bef61faf6ff177ac09297f5fd41694,https://api.cdr.land/v1/docs/documents,02d2ee61c9e8155c5a72cbdb2d00178904c7bef61faf6ff177ac09297f5fd41694,Nevada,EPSG:4326,"",Kings Valley ,"Lithium,Potassium","Hectorite deposits believed to have formed by hydrothermal alteration of layered volcaniclastic sedimentary rocks,Lacustrine zeolite (± Li, B),Lacustrine brine lithium,Lacustrine clay lithium,MVT strontium,Breccia pipe REE",TXT,https://api.cdr.land/v1/docs/documents0,https://api.cdr.land/v1/docs/documents0,GROUP20
United States,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02b09a9498f9d1bc9b1c40de785c8d5c28a0d9d80d96ec178327a31674cec0efcd,https://api.cdr.land/v1/docs/documents,02b09a9498f9d1bc9b1c40de785c8d5c28a0d9d80d96ec178327a31674cec0efcd,Nevada,EPSG:4326,"",Clayton Valley ,Lithium,"MVT strontium,drilling for brines in the deep basin,MVT barite,MVT fluorspar,Lacustrine brine lithium,lithium from lithium-rich mudstones and claystones,Lacustrine clay lithium",TXT,https://api.cdr.land/v1/docs/documents0,https://api.cdr.land/v1/docs/documents0,GROUP20
United States,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__020d32534efcbca56bcfba8651b8b496cf802b901c26e7366f5e052e6073bd2d12,https://api.cdr.land/v1/docs/documents,020d32534efcbca56bcfba8651b8b496cf802b901c26e7366f5e052e6073bd2d12,Nevada,EPSG:4326,"",Clayton Valley ,Lithium,"Lacustrine brine lithium,MVT strontium,Lacustrine clay lithium,Lacustrine zeolite (± Li, B),Porphyry gold ± copper,brine deposits,hard rock mineral deposits",TXT,https://api.cdr.land/v1/docs/documents0,https://api.cdr.land/v1/docs/documents0,GROUP20
United States,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0288b5316200eaf383e7c6292f1d8f01624b64bda6715c5281bf83b2ce59235d73,https://api.cdr.land/v1/docs/documents,0288b5316200eaf383e7c6292f1d8f01624b64bda6715c5281bf83b2ce59235d73,Nevada,EPSG:4326,"",Clayton Valley ,Lithium,"MVT zinc-lead,Lacustrine brine lithium,continental brines,Lacustrine clay lithium,Lacustrine zeolite (± Li, B),pegmatites,clays,MVT strontium",TXT,https://api.cdr.land/v1/docs/documents0,https://api.cdr.land/v1/docs/documents0,GROUP20
United States,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02bd7f8806d307e40efdababea9c1ba0f16de280a8021b0de5f5ce0d8508f3c250,https://api.cdr.land/v1/docs/documents,02bd7f8806d307e40efdababea9c1ba0f16de280a8021b0de5f5ce0d8508f3c250,Nevada,EPSG:4326,"",Clayton Valley ,Lithium,"Low Iron alkali-calcic,Lacustrine brine lithium,MVT zinc-lead,Lacustrine zeolite (± Li, B),Lacustrine clay lithium,continental, mineral-enriched brine aquifer within a hydrographically closed basin (endorheic basin)",TXT,https://api.cdr.land/v1/docs/documents0,https://api.cdr.land/v1/docs/documents0,GROUP20
United States,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__029588aae32156ffd1e3b215f0592a9a58789d64da56007fc0029ebc170a1a5b4a,https://api.cdr.land/v1/docs/documents,029588aae32156ffd1e3b215f0592a9a58789d64da56007fc0029ebc170a1a5b4a,Nevada,"","",Kings Valley ,Lithium,"Low Iron alkali-calcic,South Lens,Greisen beryllium±Li,Lacustrine clay lithium,Lacustrine brine lithium,PCD Lens,South Central Lens,Lacustrine zeolite (± Li, B),North Central Lens,North Lens",TXT,https://api.cdr.land/v1/docs/documents0,https://api.cdr.land/v1/docs/documents0,GROUP20
United States,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0253093a332b892e4f5a46a37f6628df82f593957ee9d6c959d80da4ae92be7a1a,https://api.cdr.land/v1/docs/documents,0253093a332b892e4f5a46a37f6628df82f593957ee9d6c959d80da4ae92be7a1a,Nevada,EPSG:4326,"",Kings Valley ,Lithium,"Lacustrine evaporite borate,hydrothermal alteration of layered volcaniclastic sedimentary rocks,Lacustrine brine lithium,Breccia pipe REE,Lacustrine clay lithium,Low Iron alkali-calcic",TXT,https://api.cdr.land/v1/docs/documents0,https://api.cdr.land/v1/docs/documents0,GROUP20
United States,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0287a03c08f03a431f2bc95702805d9f60a55a9ba618c3ff3c71be224abca0e2c5,https://api.cdr.land/v1/docs/documents,0287a03c08f03a431f2bc95702805d9f60a55a9ba618c3ff3c71be224abca0e2c5,Arkansas,EPSG:4326,"",Lanxess ,Lithium,"MVT zinc-lead,Low Iron alkali-calcic,subsurface aquifer brine deposits,geothermal brine deposits,Lacustrine clay lithium,pegmatite deposits,Sandstone-hosted zinc-lead,Lacustrine brine lithium,continental brine deposits",TXT,https://api.cdr.land/v1/docs/documents2,https://api.cdr.land/v1/docs/documents2,GROUP20
United States,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__029ea282ff1dbaee6a1c1417ff1b3614a06fe51bdebb1e4061308be34a8d6ff112,https://api.cdr.land/v1/docs/documents,029ea282ff1dbaee6a1c1417ff1b3614a06fe51bdebb1e4061308be34a8d6ff112,Arkansas,EPSG:4326,"",Lanxess ,Lithium,"Lacustrine brine lithium,Confined Brine Deposit,Unconformity- related REE,MVT zinc-lead,Lacustrine clay lithium,Ion adsorption REE",TXT,https://api.cdr.land/v1/docs/documents2,https://api.cdr.land/v1/docs/documents2,GROUP20
