GroupID,country,state_or_province,location,site_name,distance
GROUP3405,United States,Colorado,POINT (-105.53 39.97306),Anna C. Mine,6.398971747179395
GROUP1635,United States,Colorado,POINT (-105.38726 40.02221),Unknown,6.406951420507148
GROUP2595,United States,Arizona,POINT (-113.44467 34.8192),Williams Mine,6.418244011950679
GROUP3496,United States,Utah,POINT (-112.88 38.33857),R:S Mine,6.453284597148471
GROUP1298,United States,Montana,POINT (-113.0359 45.85099),Calvert Mine & Mill,6.466291394358535
GROUP1298,United States,Montana,POINT (-113.1522 45.8481),Calvert ,6.466292856380306
GROUP3385,United States,California,POINT (-118.51422 35.54638),Four K Prospect,6.478529599495597
GROUP1468,United States,Nevada,POINT (-118.13737 40.2727),Tungsten Occurrence,6.512564759135227
GROUP2257,United States,Oregon,POINT (-117.50542 44.44626),Unnamed Prospect,6.586712963739849
GROUP2257,United States,Oregon,POINT (-117.62382 44.45516),Unnamed Prospect,6.586728719475273
GROUP506,Mexico,Baja California,POINT (-116.00022 32.21118),El Topo,6.758778534674808
GROUP506,Mexico,Baja California,POINT (-116.00026 32.21119),El Topo,6.763252001115811
GROUP925,United States,Alaska,POINT (150.75 61.99),Kahiltna River,6.8224084851753615
GROUP6174,United States,Alaska,POINT (-150.75274 61.98953),Kahiltna River,6.8229967941208
GROUP3385,United States,California,POINT (-118.51786 35.54581),Four K Prospect,6.88149504363472
GROUP3306,United States,California,POINT (-118.31812 35.62028),Last Chance Mine,6.883358214124824
GROUP3199,United States,Alaska,POINT (-147.84696 60.69236),Unnamed Occurrence,6.888328694309134
GROUP3199,United States,Alaska,POINT (-147.96696 60.72876),Unnamed Occurrence,6.888608936765542
GROUP372,"","",POINT (97.03319 18.83303),Mawchi Mine,6.9515825042215384
GROUP372,"","",POINT (97.15822 18.82473),Mawchi Mine,6.951586601231438
GROUP5603,United States,Montana,POINT (-112.91649 45.3118),Virginia Claim,7.009931651835721
GROUP5603,United States,Montana,POINT (-113.04256 45.31656),Virginia Claim,7.009935602528082
GROUP106,United Kingdom,Devon,POINT (-4.00332 50.40737),Hemerdon Mine,7.085066547871335
GROUP152,Bolivia,"",POINT (-67.16616 -17.08101),Chambilaya Mine,7.165831366630685
ALL91,Kazakhstan,"",POINT(74.15000 47.93944),Akchatau,7.33990598978091
GROUP2443,United States,Alaska,POINT (-165.46994 64.54928),Sledge Creek,7.4895479460411
GROUP5081,United States,Alaska,POINT (-150.71956 63.59957),Caribou Creek,7.552946331576459
GROUP4573,United States,California,POINT (-115.24833 35.30251),Unnamed Prospect,7.682420752584916
GROUP4573,United States,California,POINT (-115.38113 35.21311),Unnamed Prospect,7.683861124805746
GROUP1131,United States,Alaska,POINT (158.6141 61.2187),Unnamed (northeast of upper Buckstock River),7.695008561373736
GROUP1131,United States,Alaska,POINT (158.7441 61.1677),Unnamed (southwest forks of Buckstock River),7.695410022970571
GROUP5081,United States,Alaska,POINT (-150.8565 63.60927),Caribou Creek,7.706220670923323
GROUP6092,United States,Utah,POINT (-113.45082 39.24995),Scheelite Queen Mine,7.923662197125689
GROUP6327,Uzbekistan,"",POINT(65.96667 40.39167),Lyangar,8.059776743136633
GROUP5106,United States,California,POINT (-118.38427 37.19995),Marble,8.097608967650329
GROUP5106,United States,California,POINT (-118.51372 37.34022),"Huntley Industrial Minerals, Inc.",8.101161967326961
