ms_uri,source_id,record_id,country,state_or_province,crs,other_names,site_name,commodity,deposit_type,longitude,latitude,location,GroupID_location,link_method,GroupID_text
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10197594,https://mrdata.usgs.gov/mrds,10197594,United States,Montana,EPSG:4326,"",Sixty Five,",,Silver,balt","U-M layered intrusion chromium,Vein five-element",-110.51251,45.52741,POINT (-110.5125099999999918 45.5274099999999962),539,GEO,https://mrdata.usgs.gov/mrds2202
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10078298,https://mrdata.usgs.gov/mrds,10078298,United States,Montana,EPSG:4326,"Dixon,Eagle,Trade Dollar,Kootenai Copper,Green Mountain",Drake,",Silver,,,,balt,Gold,pper,","",-114.40597,47.26571,POINT (-114.4059699999999822 47.2657099999999986),333,GEO,https://mrdata.usgs.gov/mrds319
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10067824,https://mrdata.usgs.gov/mrds,10067824,United States,Virginia,EPSG:4326,"S,Mary Campbell,Manganese Corp,Kendall and Flick,Neisswaner,U",Elkton,"Iron,,,balt","Replacement manganese,Sedimentary manganese,Supergene manganese",-78.6164,38.39032,POINT (-78.6163999999999845 38.3903200000000027),570,GEO,https://mrdata.usgs.gov/mrds1368
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10280529,https://mrdata.usgs.gov/mrds,10280529,Australia,Western Australia,EPSG:4326,No Alternate Names,Wannaway,"pper,","Komatiite nickel-copper-PGE,Laterite nickel",121.51589,-31.59607,POINT (121.5158900000000131 -31.5960700000000010),658,GEO,https://mrdata.usgs.gov/mrds1108
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10033794,https://mrdata.usgs.gov/mrds,10033794,United States,California,EPSG:4326,"",Clipper,"",Laterite nickel,-121.17604,39.52655,POINT (-121.1760400000000146 39.5265500000000003),718,GEO,https://mrdata.usgs.gov/mrds1787
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10237669,https://mrdata.usgs.gov/mrds,10237669,United States,California,EPSG:4326,"",Unnamed,"","Impact U-M intrusion nickel- copper-PGE,Vein ± replacement nickel",-116.81757,35.03831,POINT (-116.8175699999999892 35.0383100000000027),334,GEO,https://mrdata.usgs.gov/mrds227
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10168387,https://mrdata.usgs.gov/mrds,10168387,United States,Idaho,EPSG:4326,"",Carrothers Hines,"","Anorthosite conduit nickel- copper-PGE,Impact U-M intrusion nickel- copper-PGE,Vein ± replacement nickel",-114.41282,44.30349,POINT (-114.4128199999999822 44.3034899999999894),361,GEO,https://mrdata.usgs.gov/mrds1286
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10158005,https://mrdata.usgs.gov/mrds,10158005,Canada,Ontario,EPSG:4326,"Timiscaming Mine,Slate Creek Mine,Christopher,Cobalt Lode,Coniagas,Castle-Trethewey Mine,Beaver Mine,Big Agaunico Mine,Langis Mine,Brady Lake,Beaver - Timiscaming Project",Agni Eagle Silver Division,",,pper,Silver,balt",Vein five-element,-79.68552,47.38999,POINT (-79.6855199999999968 47.3899899999999974),707,GEO,https://mrdata.usgs.gov/mrds550
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039222,https://mrdata.usgs.gov/mrds,10039222,United States,Oregon,EPSG:4326,"Hanenkrat,Big Bertha,Morgan,Sheep Rock Deposits",Liberty Chrome South,"pper,,,,",Ophiolite chromium,-118.73605,44.32735,POINT (-118.7360499999999917 44.3273499999999956),544,GEO,https://mrdata.usgs.gov/mrds1643
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10264094,https://mrdata.usgs.gov/mrds,10264094,China,"",EPSG:4326,"",Chibaisong pper,"pper,","Ophiolite nickel-copper-PGE,U-M conduit nickel-copper- PGE",125.88455,41.70385,POINT (125.8845500000000044 41.7038499999999956),27,GEO,https://mrdata.usgs.gov/mrds1465
