ms_uri,source_id,record_id,site_name,country,state_or_province,location,crs,commodity
https://minmod.isi.edu/resource/mineral_site67b8c95b6d9d0d3fe4080a4e3aead4cb7f6297efb1e84326d4045637251c6ce1,MRDS,10036802,Feldt Prospect,United States,Washington,POINT (-121.68872 48.23481),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitec63250fd43853f67feb8181e6381096548438a3e5e3a4bdff08829350762800e,MRDS,10001364,Unnamed Occurrence,United States,Alaska,POINT (-135.55569 58.96446),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitea589d032031124f6357f47049e3d19ee9222b8752d67e15ff7490d370474adb1,MRDS,10059587,La Union,Chile,,POINT (-70.2037 -27.40442),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitea9ab4a63be2b312eec5344c7f5254bc234fa21cb579c79e30fc5ec3dad5316be,MRDS,10002274,Unnamed (west mouth of Shag Cove),United States,Alaska,POINT (-136.34709 58.64472),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitea80bb79536da734c9ab49b6b63d7022c2b5972ec79a0489c2842381b5c05ef27,MRDS,10286332,Unnamed Prospects,United States,California,POINT (-116.72276 34.67061),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site7ec9e5812c01e00e78e1d90d7b83a1c3f430873d5130f93af5750217bf92fc7b,MRDS,10096241,Indian Creek Prospect,United States,Idaho,POINT (-114.37733 45.17738),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_siteafbea0313fbe6bcb1adbe274b95af4fb9853c5ed935ea2a5f020da92f04e332a,MRDS,10400578,Kipoi North,Congo (Kinshasa),Katanga,POINT (27.092 -11.2448),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site69e863b66d6f5b82efc351e0caa197f0d1cca6e37d8152e4a83f91abf024a0d0,MRDS,10095675,Sixmile Copper,United States,Oregon,POINT (-123.73144 42.30454),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitedd186c84acc20aa71c391c2a82909db8e07b2be6e40ffeb225f4378f0e0c301c,MRDS,10058100,Armonia-Santa Rosa,Chile,,POINT (-70.90232 -28.09191),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site1135dd08b30e5df4c43d2a093d04b9c61ba769cea40ac3ae7d7735dc279d8322,MRDS,10086129,La India,Nicaragua,Leon,POINT (-86.29998 12.75095),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitec6937375603b34f50ca6b2bb49538fc8456dfcd2ee48f27f150e5ef85ad7580f,MRDS,10101840,Augusta Mine,United States,Colorado,POINT (-105.3178 39.61749),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site847757baee266a48a810ff12e3a4ddd8ed15dd4c1b08fc309b82791d5afea4f8,MRDS,10307698,Unnamed (coast south of Kwain Bay),United States,Alaska,POINT (-131.35275 55.06674),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitef34fa3f1f20817d02f073a8893762c48ab5b004b6a3c4bf90d9fb77baa2066cf,MRDS,10067536,Unnamed Prospect,United States,Alabama,POINT (-85.61662 33.96681),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site2612786da6c8feb89b046696049b386c7093540719ecd9c8a79f48e52760e937,MRDS,10071572,Salmon Canyon Copper Company Prospect,United States,Idaho,POINT (-114.5566 45.30135),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site53df03b30ae813b3958161547b398310b991826c8342a459f67632bd3609a2ef,MRDS,10307857,Unnamed (northwest of Smith Lake),United States,Alaska,POINT (-153.88184 62.36048),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site9b931e68617d5d735bbd99eb2cbabf9838634cad955b1d0ba6825f33b27a0fd3,MRDS,10069382,"Sanyo Cobalt Mine, Japan",Japan,Wakayama,POINT (138.88206 35.63201),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site54282726312f2f036e9c67377e2c54df0462a626482f44cc9875fcab4a900a6b,MRDS,10105103,Vulcano,Chile,,POINT (-70.93983 -28.10497),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site9c34a47c69403c3bf11f0304f62c3f18280a7c1f8ab5d711a48bc1db7deecce5,MRDS,10039236,Rhum,United Kingdom,Highland,POINT (-6.36407 56.96577),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitef2564a4afce986e9c6a452c67562cf0d39da0fcb0099db5c1da681423c4157dd,MRDS,10202498,(Facility) Clarksville Smelter,United States,Tennessee,POINT (-87.34831 36.52678),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitec629afcbfe9d7d8cd4deab6e5a144c4de5f5f93ab0b25de8d403afc895a3761d,MRDS,10274490,Prindle Claims,United States,Oregon,POINT (-118.64995 44.57925),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site4f585fdd3dac17832b5500892946716e5294e054ccba75bd35d27299cf8c2209,MRDS,10128893,Gte Prdts Corp--Towanda Plant,United States,Pennsylvania,POINT (-76.44434 41.7686),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site6ded4f7591ce961e8faf716430121e1708ebd42cb3024fc9cddc92048d096bfa,MRDS,10158438,Eitrheim,Norway,Hordaland,POINT (6.53617 60.08216),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site75709167435046197cfffca10ef67601773bad8080e6952d9b9058499d589825,MRDS,10276539,Bastian Prospect,United States,Virginia,POINT (-81.16421 37.15897),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site2077f3764912f2bc18629074034f748699e505c36113a3f29e165c0ea8f96ab5,MRDS,10190980,Joe L Knez,United States,Colorado,POINT (-107.46896 40.45997),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_site711ff38927201d346c630a1d020a25f709259cab6f96bc4cfb5dace5b94c89b3,MRDS,10000752,Unnamed (west of lower Nabesna Glacier),United States,Alaska,POINT (-142.92365 62.14858),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitef78138983ba3366349a58ee4cfceab68827d74a03613b2b3fb408ccb994dc56c,MRDS,10007883,Punta Gorda Prospect,Costa Rica,Guanacaste,POINT (-85.75274 10.52189),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_sitedaff12d9bace39fb7d900f4a0bdc4475a7a422b1b9a46bbfb12da66a6c936dec,MRDS,10005861,Laguna Honda Sur,Bolivia,Potosi,POINT (-67.44948 -22.56698),EPSG:4326,cobalt
https://minmod.isi.edu/resource/mineral_siteb3be2e5e1a2a3896cb415dc02f3b734c8da7f0815b69abdac818e5cfd67b59bd,MRDS,10058806,Teresita Y Vicuna,Chile,,POINT (-71.14954 -29.93913),EPSG:4326,cobalt
