ms,ms_name,country,state_or_province,loc_wkt,group_id
https://minmod.isi.edu/resource/mineral_site8de07e3d409e2fd621ae2cd4d94f53a3ae3f78541c7827d0b3b1978227a1ccec,Straight Creek Springs,,Alaska,"POINT (-154.39084, 62.16946)",3464.0
https://minmod.isi.edu/resource/mineral_sitea96307b2db5a89dc8883d70b43baffe4960c0867318d0ef7eecf56570656fbd1,Flying Fox,,Western Australia,"POINT (119.63256, -32.29603)",3462.0
https://minmod.isi.edu/resource/mineral_siteedc7bf1e9a573fa76e14a9e63362bde0e0c0642f5a81b7da5d3fb503040fdd58,Callahan,,Georgia,"POINT (-85.32665, 34.07653)",3431.0
https://minmod.isi.edu/resource/mineral_site407333c07e29c056b61d3824d10697f3cb0b5e363a3b64b8dfb60a302f500900,"Scotia Mine, Australia",,Western Australia,"POINT (121.26588, -30.19613)",3434.0
https://minmod.isi.edu/resource/mineral_site2d5f4b56896340cd5f24e6267f34180140c8f82b1cb3f4950b5fe02dda923bbb,Munali,,Southern,"POINT (28.11805, -15.89717)",3435.0
https://minmod.isi.edu/resource/mineral_sitef46c889ef54909f5a33d1fd03c3707aff80fbb2d58665ecef890c51032c4278f,Nickel Mine,,Maine,"POINT (-70.69273, 44.55636)",3439.0
https://minmod.isi.edu/resource/mineral_site51cde8386b6e4a2d0b4fd73a442cb73d6c1ecb6dd847736dfa96e4b1a65580f7,"Ora Banda, Australia",,Western Australia,"POINT (121.06588, -30.44611)",3440.0
https://minmod.isi.edu/resource/mineral_siteed856b58f69de01ec93eb4f3667777305fa1057d10954bcb6cdb3029399c2fb6,Talmessi,,Esfahan,"POINT (53.49499, 33.41564)",3442.0
https://minmod.isi.edu/resource/mineral_site76961065e5fbd2c150619f6b3e5f8703c35d5a34b42914d13b5703fdb2ab7633,Carrothers-Hines Prospect,,Idaho,"POINT (-114.41282, 44.30349)",3443.0
https://minmod.isi.edu/resource/mineral_site93fd414f249566478be273e64d2dd82c78efbc305a9b537b540d5102e6a35bf3,Copper City Group,,Oregon,"POINT (-124.05057, 42.40232)",3448.0
https://minmod.isi.edu/resource/mineral_site8640008c7cf0c915baf785649b339ef628486ae2526a5c9fc775b9da97ca7c5d,Treasure Hill Mine,,Colorado,"POINT (-105.2192, 40.75498)",3449.0
https://minmod.isi.edu/resource/mineral_sitee7dd14ec163f293912f89728516ece4384114c59da80f97988a53ed28e793ef7,Golden Glow,,Oregon,"POINT (-118.84576, 44.35095)",3450.0
https://minmod.isi.edu/resource/mineral_site4496679b3def93d6fb56550ddd012ee27ecc04807d4e0c515338ea407a1b4647,Technical Report on the Mineral Resource Estimate for the Maturi Property Minnesota U.S.A.,,Minnesota,POINT(-91.759305555556 47.799861111111),3454.0
https://minmod.isi.edu/resource/mineral_site1b81c34b02188e027ca5411adf1945461048913b33e5955b28f07d12389131fd,Bonanza & Deadwood,,Washington,"POINT (-120.79618, 47.41792)",3456.0
https://minmod.isi.edu/resource/mineral_site2543dc16d34bc4c85d940a7c8dc6648e4cf0135b89fb2927fbcf29af4de5f720,"Jacupiranga, Brazil",,Sao Paulo,"POINT (-47.96567, -24.63073)",3458.0
https://minmod.isi.edu/resource/mineral_site2da713dd8101c78ab6145891409a2179cee4114fe7dc74fe281d154e7c4b2235,Cobalt # 1,,Utah,"POINT (-109.72182, 38.82054)",3459.0
https://minmod.isi.edu/resource/mineral_site5979f4f0aebcb09f5da6f336dca9ca21e9a54c64454cb2dd6c5cfe85f90c2ab5,Norduna Mine,,Ontario,"POINT (-80.76088, 46.63999)",3460.0
https://minmod.isi.edu/resource/mineral_site29914793de9aa39eed08d07120012d20746a7e16938f641e06be1c9ff8340f65,Sixty Five,,Montana,"POINT (-110.51251, 45.52741)",3335.0
https://minmod.isi.edu/resource/mineral_sitea9e0a85687175f8776f19ed1785f58d0922ab78beb7335c421285f40dfb77dfd,NI 43-101 Technical Report for the Mayville Project in North America dated April 2013,,Manitoba,POINT(-95.666667 50.583333),3133.0
https://minmod.isi.edu/resource/mineral_site47143a6c38e0449901279fc7ca4f13df7186f20b2fb50898b2ffa2aadce1f487,San Santiago,,La Rioja,"POINT (-68.37364, -28.3869)",3207.0
https://minmod.isi.edu/resource/mineral_site5c1eb8ddc3cfb57f2501d941a395d712f04fe6486a9aed2fe032d39c36efef53,NI 43-101 Technical Report for the Shining Tree Project in North America dated February 2006,,Ontario,POINT(-83.183333 47.566667),3195.0
https://minmod.isi.edu/resource/mineral_site79c010b29787d086bda003d38ab17717399947497f6c605b0879e0d80bd59b35,NI 43-101 Technical Report for the Alexo Project in North America dated November 2010,,Ontario,POINT(-80.811947 48.658097),3196.0
https://minmod.isi.edu/resource/mineral_site36d4fd09b189f8a6345e2ce351516684ddc6452bd37331b2a234b39106f1e339,Scotia,,Western Australia,"POINT (121.7492, -30.24613)",3197.0
https://minmod.isi.edu/resource/mineral_site6a852c40a84fd9056b2524c82b1fbc6736aefb2d55b9299c2a49f38be76f3c6f,Three Boys Claim,,Oklahoma,"POINT (-98.57618, 34.77593)",3198.0
https://minmod.isi.edu/resource/mineral_sitebc8770db6ba2ec8c25c24a5bee75975d386b3cb5aca5e1fb99a0a758dae8b6e6,Bearden,,Georgia,"POINT (-84.73323, 34.23343)",3201.0
https://minmod.isi.edu/resource/mineral_site8dbd8e45e9a02f53d4a131c48a8bc49142127759ce4aaafe655ee00c03378367,NI 43-101 Technical Report for the River Valley Project in North America dated May 2018,,Ontario,POINT(-80.4167 46.6667),3202.0
https://minmod.isi.edu/resource/mineral_sitef1506b48f895ecee7119af36ccc62ae56269ef90ae845d8fc33b65706eb46f18,Taylor Nickel,,Arizona,"POINT (-112.20992, 32.17701)",3204.0
https://minmod.isi.edu/resource/mineral_sitedacb38b5e7f88b6c22bd4cc4847c3f6483f4ceb6e1972b3d7a0e65a02bec419b,Mottini Mine,,Nevada,"POINT (-118.21568, 39.66796)",3208.0
https://minmod.isi.edu/resource/mineral_sitec6f97a5695b361847ce1d4c1d32ef081f930fea0f029569b0fcf82ec40ee0789,Goat Mountain,,Washington,"POINT (-121.06452, 47.5026)",3233.0
https://minmod.isi.edu/resource/mineral_site8e500e46298132fbcc6a72ca351b20877b56fdd0e7ab45a9fc950aa436d68406,Longvack Mine,,Ontario,"POINT (-81.32312, 46.77777)",3209.0
https://minmod.isi.edu/resource/mineral_site6a8474c70738576af9ac0e679e29001a7d96d1cd33056f38f4580018cac54029,Mouat Nickel-Copper,,Montana,"POINT (-109.89689, 45.38022)",3211.0
https://minmod.isi.edu/resource/mineral_site073eece3d90b2d80eeb458edbb46111e6dd90349e3b1728a7f4efa97d69cab26,Phillips Mine-Camp Smith Area,,New York,"POINT (-73.94816, 41.32419)",3214.0
https://minmod.isi.edu/resource/mineral_site6b14519c14c18f7d30e658766feb91b990981c3107042538a96783b45fc1a8b5,Tincup Peak,,Oregon,"POINT (-123.91422, 42.31149)",3216.0
https://minmod.isi.edu/resource/mineral_site4cf66ff6658a0f28ea4e9f9aeb894f95413d8f5f46a4be1fd8fd47f010297b71,Hardy Deposit,,Connecticut,"POINT (-73.26174, 41.70859)",3219.0
https://minmod.isi.edu/resource/mineral_sitea39311cec11793f40bdd174ba3644f2ac4431c7c4c7b9fb789453a869c89d60a,Horace Porter Mine,,Colorado,"POINT (-106.97643, 38.94889)",3226.0
