ms_uri,GroupID
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10231436,GROUP118
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039177,GROUP119
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10232359,GROUP120
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10303882,GROUP121
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039076,GROUP122
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10230785,GROUP123
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10231062,GROUP124
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10206716,GROUP125
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038974,GROUP126
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039161,GROUP127
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10279408,GROUP128
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10182164,GROUP129
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__buruktal,GROUP129
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10182812,GROUP130
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10304204,GROUP131
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039159,GROUP132
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10182709,GROUP133
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039117,GROUP134
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039116,GROUP135
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10303737,GROUP136
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10279576,GROUP137
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024530,GROUP138
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10182794,GROUP139
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10255195,GROUP140
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10303839,GROUP141
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10231420,GROUP142
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10158404,GROUP143
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10134183,GROUP144
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10158230,GROUP145
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10097119,GROUP146
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10069265,GROUP147
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10206990,GROUP148
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10207035,GROUP149
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10279469,GROUP150
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10280038,GROUP151
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10207596,GROUP152
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10239436,GROUP153
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10280928,GROUP154
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10134280,GROUP155
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10142639,GROUP156
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038975,GROUP157
