country,ms_uri,source_id,record_id,state_or_province,location,crs,other_names,site_name,commodity,deposit_type,link_method,longitude,latitude,GroupID
Russia,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10182215,https://mrdata.usgs.gov/mrds,10182215,"",POINT (39.5018299999999982 50.9982399999999956),EPSG:4326,Ostakhovskoye Deposit,Ostakhovo,"pper,","Anorthosite conduit nickel- copper-PGE,Impact U-M intrusion nickel- copper-PGE,Ophiolite nickel-copper-PGE",GEO,39.50183,50.99824,https://mrdata.usgs.gov/mrds1399
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10300971,https://mrdata.usgs.gov/mrds,10300971,Washington,POINT (-120.7697799999999830 47.4062199999999905),EPSG:4326,"Nigger Creek,Davenport",Negro,"Iron,,",U-M layered intrusion chromium,GEO,-120.76978,47.40622,https://mrdata.usgs.gov/mrds1400
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10189244,https://mrdata.usgs.gov/mrds,10189244,California,POINT (-116.5669399999999882 33.0461600000000004),EPSG:4326,"",pper Brick,"pper,","Ophiolite nickel-copper-PGE,U-M conduit nickel-copper- PGE",GEO,-116.56694,33.04616,https://mrdata.usgs.gov/mrds1401
Australia,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039196,https://mrdata.usgs.gov/mrds,10039196,"",POINT (121.7991800000000211 -31.3960799999999942),EPSG:4326,"",oee,"Gold,,pper,,,,","Impact U-M intrusion nickel- copper-PGE,Komatiite nickel-copper-PGE,Ophiolite nickel-copper-PGE",GEO,121.79918,-31.39608,https://mrdata.usgs.gov/mrds1402
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10068210,https://mrdata.usgs.gov/mrds,10068210,Connecticut,POINT (-73.0839699999999937 41.3766599999999940),EPSG:4326,"",Seymour Brook,"Iron,,,","",GEO,-73.08397,41.37666,https://mrdata.usgs.gov/mrds1403
China,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10159192,https://mrdata.usgs.gov/mrds,10159192,"",POINT (101.4997500000000059 30.4987700000000004),EPSG:4326,Tanpa Deposit,Tanpa Polymetallic Ore,",Gold,pper,,","Ferroan carbonate polymetallic,Iron oxide poly- metallic,Iron silicate polymetallic,Iron sulfide polymetallic",GEO,101.49975,30.49877,https://mrdata.usgs.gov/mrds1404
Zimbabwe,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10079579,https://mrdata.usgs.gov/mrds,10079579,"",POINT (30.1680099999999989 -18.0803499999999993),EPSG:4326,"",Perseveranca,",pper","Komatiite nickel-copper-PGE,Laterite nickel",GEO,30.16801,-18.08035,https://mrdata.usgs.gov/mrds1405
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10105491,https://mrdata.usgs.gov/mrds,10105491,Virginia,POINT (-79.0747400000000056 37.9583799999999982),EPSG:4326,"",Lyndhurst Vesuvius,",Iron,,balt","Replacement manganese,Supergene manganese",GEO,-79.07474,37.95838,https://mrdata.usgs.gov/mrds1406
Philippines,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10069631,https://mrdata.usgs.gov/mrds,10069631,"",POINT (118.1993800000000192 9.4173299999999998),EPSG:4326,"",Birong,"","Laterite nickel,Vein ± replacement nickel",GEO,118.19938,9.41733,https://mrdata.usgs.gov/mrds1407
South Africa,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000586,https://mrdata.usgs.gov/mrds,60000586,"",POINT (28.9808200000000014 -24.3302799999999948),EPSG:4326,"Potgietersrus Limb,Rustenburg Layered Suite,Bushveld Complex",Grass Valley,"pper, elements,","U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE",GEO,28.98082,-24.33028,https://mrdata.usgs.gov/mrds1408
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10119960,https://mrdata.usgs.gov/mrds,10119960,Idaho,POINT (-115.5890899999999704 46.1292699999999982),EPSG:4326,"",olwater,"",Vein ± replacement nickel,GEO,-115.58909,46.12927,https://mrdata.usgs.gov/mrds1409
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10000840,https://mrdata.usgs.gov/mrds,10000840,Alaska,POINT (-144.9414400000000001 61.6013099999999980),EPSG:4326,"",Dust Mountain,",,","Ophiolite chromium,U-M layered intrusion chromium",GEO,-144.94144,61.60131,https://mrdata.usgs.gov/mrds1410
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10161387,https://mrdata.usgs.gov/mrds,10161387,Alaska,POINT (-154.5472399999999595 62.1708600000000047),EPSG:4326,"",Middle Fork,"Iron,","Anorthosite conduit nickel- copper-PGE,Iron oxide poly- metallic,Vein ± replacement nickel",GEO,-154.54724,62.17086,https://mrdata.usgs.gov/mrds1411
