country,ms_uri,source_id,record_id,state_or_province,crs,other_names,site_name,commodity,deposit_type,link_method,loc_GroupID,GroupID_location,GroupID_text
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10185444,https://mrdata.usgs.gov/mrds,10185444,Arizona,EPSG:4326,Ella Shaft,Bell s,",,","Breccia pipe molybdenum,Greisen tungsten- molybdenum±Bi,Vein tungsten",GEO,ALL3340,GROUP24,GROUPALL3340
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10096915,https://mrdata.usgs.gov/mrds,10096915,Montana,EPSG:4326,"",Saturday Lode,",,pper,,,,","",GEO,ALL3341,GROUP24,GROUPALL3341
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10091321,https://mrdata.usgs.gov/mrds,10091321,Colorado,EPSG:4326,Minnie and Ohio,Minnie,"","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo,Vein tungsten",GEO,ALL3344,GROUP24,GROUPALL3344
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009586,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10308838,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10002826",https://mrdata.usgs.gov/mrds,"10002826,10308838,10009586",Alaska,EPSG:4326,"",Spruce Hen,",,,,","Skarn molybdenum,Skarn tungsten ± Mo,Skarn tungsten ± Mo,Greisen tungsten- molybdenum±Bi",GEO,ALL3345,GROUP24,GROUPALL3345
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10186831,https://mrdata.usgs.gov/mrds,10186831,Arizona,EPSG:4326,"Four Winds,Bunker Hill",Blue Eagle Et Al s,",,","Breccia pipe gold,Greisen tungsten- molybdenum±Bi",GEO,ALL3346,GROUP24,GROUPALL3346
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10098211,https://mrdata.usgs.gov/mrds,10098211,Arizona,EPSG:4326,"",No,",,,pper,",Breccia pipe molybdenum,GEO,ALL3347,GROUP24,GROUPALL3347
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10035248,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10235922",https://mrdata.usgs.gov/mrds,"10035248,10235922",California,EPSG:4326,"Nickol Peak Prospect,",Nichol Peak,"","Skarn tungsten ± Mo,Greisen tungsten- molybdenum±Bi,Porphyry tungsten,Skarn tungsten ± Mo,Vein tungsten",GEO,ALL3348,GROUP24,GROUPALL3348
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10236612,https://mrdata.usgs.gov/mrds,10236612,California,EPSG:4326,"",Bright Star,"","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo,Vein tungsten",GEO,ALL3349,GROUP24,GROUPALL3349
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10174197,https://mrdata.usgs.gov/mrds,10174197,Nevada,EPSG:4326,"",Two Duces,"","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo",GEO,ALL3350,GROUP24,GROUPALL3350
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10041934,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10276275",https://mrdata.usgs.gov/mrds,"10041934,10276275",Utah,EPSG:4326,"Fillmore,Mae West,",Mast,",,,,,","Orogenic silver-lead- zinc-copper- antimony,Supergene lead,Vein five-element",GEO,ALL3351,GROUP24,GROUPALL3351
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10287776,https://mrdata.usgs.gov/mrds,10287776,Colorado,EPSG:4326,"Barker 2,Barker Tunnel",Barker,",,",Vein tungsten,GEO,ALL3352,GROUP24,GROUPALL3352
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10090702,https://mrdata.usgs.gov/mrds,10090702,Alaska,EPSG:4326,"",Rose,",,",Fluvial placer tungsten,GEO,ALL3353,GROUP24,GROUPALL3353
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10198362,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10047274",https://mrdata.usgs.gov/mrds,"10198362,10047274",Nevada,EPSG:4326,",NBMG Sample Site 2629",Old Bob,",,","Mesozonal orogenic gold,Alkalic epithermal gold ± Ag,Low-sulfidation (LS) epither- mal gold-silver,Vein five-element",GEO,ALL3355,GROUP24,GROUPALL3355
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10295279,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10045046",https://mrdata.usgs.gov/mrds,"10295279,10045046",Nevada,EPSG:4326,"Wild Horse,January,Paradise,Johnson,",Ledge,"","Skarn tungsten ± Mo,Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo",GEO,ALL3356,GROUP24,GROUPALL3356
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10071723,https://mrdata.usgs.gov/mrds,10071723,Idaho,EPSG:4326,White Bluff,Rocket,",pper",Greisen tungsten- molybdenum±Bi,GEO,ALL3357,GROUP24,GROUPALL3357
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10190121,https://mrdata.usgs.gov/mrds,10190121,Colorado,EPSG:4326,"",Tanner,"","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo",GEO,ALL3358,GROUP24,GROUPALL3358
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10027317,https://mrdata.usgs.gov/mrds,10027317,Arizona,EPSG:4326,Monike Mines Co,Homestake,",,","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo,Vein tungsten",GEO,ALL3359,GROUP24,GROUPALL3359
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10055967,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10111430",https://mrdata.usgs.gov/mrds,"10111430,10055967",Washington,EPSG:4326,"Reedy,New Deal,Dixie Queen,Silver Seal,Dixie Queen,Reedy,Silver Seal,New Deal",Queen,",,,pper,,,,,,,,",Epizonal orogenic antimony ± gold,GEO,ALL3360,GROUP24,GROUPALL3360
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10163592,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10035280,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10035281",https://mrdata.usgs.gov/mrds,"10163592,10035280,10035281",California,EPSG:4326,"Undetermined,",Undeterd,"","Greisen tungsten- molybdenum±Bi,Porphyry tungsten,Skarn tungsten ± Mo,Greisen tungsten- molybdenum±Bi,Porphyry tungsten,Skarn tungsten ± Mo,Vein tungsten,Fluvial placer tungsten,Greisen tungsten- molybdenum±Bi,Porphyry tungsten,Skarn tungsten ± Mo,Vein tungsten",GEO,ALL3361,GROUP24,GROUPALL3361
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10037677,https://mrdata.usgs.gov/mrds,10037677,Nevada,EPSG:4326,"NBMG,3786",Tede Boy s,",,pper",Greisen tungsten- molybdenum±Bi,GEO,ALL3362,GROUP24,GROUPALL3362
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10310342,https://mrdata.usgs.gov/mrds,10310342,Nevada,EPSG:4326,"Scheelite Claim,Gardnerville Mine Area,Alpine Claim,Extension Claim,Ramona Claim,Owl Claim,Tungstate Claim,Cosmos Claim",Pine Nut,",,pper,",Low-fluorine porphyry molybdenum,GEO,ALL3363,GROUP24,GROUPALL3363
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10103623,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10092957",https://mrdata.usgs.gov/mrds,"10092957,10103623",Nevada,EPSG:4326,"NBMG Sample Site,4280,4281,NBMG Sample Site","Boulder Hill,Boulder Hill s South",",,,","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo,Vein fluorite",GEO,ALL3364,GROUP24,GROUPALL3364
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10277524,https://mrdata.usgs.gov/mrds,10277524,Washington,EPSG:4326,"Thunder,Pasayten Wilderness,Locality 8",Thunder,"","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo",GEO,ALL3365,GROUP24,GROUPALL3365
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10139015,https://mrdata.usgs.gov/mrds,10139015,California,EPSG:4326,Bright Star,Bright Star s,",,","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo",GEO,ALL3366,GROUP24,GROUPALL3366
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10112569,https://mrdata.usgs.gov/mrds,10112569,Alaska,EPSG:4326,Bear Mountain Tungsten,Gangola,"",Greisen tungsten- molybdenum±Bi,GEO,ALL3367,GROUP24,GROUPALL3367
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10267489,https://mrdata.usgs.gov/mrds,10267489,Maine,EPSG:4326,"",South Sanford,",",Greisen tungsten- molybdenum±Bi,GEO,ALL3368,GROUP24,GROUPALL3368
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10008773,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10194536",https://mrdata.usgs.gov/mrds,"10194536,10008773",Maine,EPSG:4326,"",Topham,"","Fluvial placer tungsten,Greisen tungsten- molybdenum±Bi,Vein tungsten,Fluvial placer tungsten,Greisen tungsten- molybdenum±Bi",GEO,ALL3369,GROUP24,GROUPALL3369
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10237998,https://mrdata.usgs.gov/mrds,10237998,California,EPSG:4326,"1,A,P,T,No",ing Associates,"","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo,Vein tungsten",GEO,ALL3370,GROUP24,GROUPALL3370
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10126538,https://mrdata.usgs.gov/mrds,10126538,New Mexico,EPSG:4326,"Crump,Cactus Group",Kneyer,",","Breccia pipe molybdenum,Greisen tungsten- molybdenum±Bi,Skarn molybdenum",GEO,ALL3371,GROUP24,GROUPALL3371
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10035205,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10189584",https://mrdata.usgs.gov/mrds,"10189584,10035205",California,EPSG:4326,"",Smitty,"","Greisen tungsten- molybdenum±Bi,Porphyry tungsten,Skarn tungsten ± Mo,Vein tungsten,Greisen tungsten- molybdenum±Bi,Porphyry tungsten,Skarn tungsten ± Mo",GEO,ALL3373,GROUP24,GROUPALL3373
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013967,https://mrdata.usgs.gov/mrds,10013967,Colorado,EPSG:4326,"",Green Rock,",","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo,Vein tungsten",GEO,ALL3374,GROUP24,GROUPALL3374
