ms_uri,source_id,site_name,country,state_or_province,location,crs,commodity
https://minmod.isi.edu/resource/mineral_site6ac25d9a55d0780466152bc420c5f217a92c195976f70bb96ba154ef7572310a,MRDS,Lake Izabel Nickel Deposit - Guatemala,Guatemala,,"POINT (-89.08338, 15.41749)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site45b067d7966d96cfe9958f3d25f2afaef2712982bebdfb5a2bff1db9156bd3eb,MRDS,"Pishkash East Mine, Albania",Albania,,"POINT (20.0702, 41.14107)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site332dd42b9e1978d2aa90c6f3fedbf848ae3a1e8f4f18af6e64f7df085fa3afe7,MRDS,Pykes Hill Nickel Deposit-Australia,Australia,Western Australia,"POINT (121.83253, -28.82952)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_sitef46c889ef54909f5a33d1fd03c3707aff80fbb2d58665ecef890c51032c4278f,MRDS,Nickel Mine,United States,Maine,"POINT (-70.69273, 44.55636)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_siteaa9e0aad035c9300316bc48369087d362aad90bbfa35425bcbd836f3001fcdd0,MRDS,Iron Peak Area 2,United States,Washington,"POINT (-120.89978, 47.40622)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site08d9ace09c390ae441e949da852a2df620c21eabd7b94580d9082588a4ab25a4,MRDS,(Facility) Rustenburg Smelter,South Africa,,"POINT (27.327, -25.684)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_siteb7ade48722216b1ab191de109cf7bdd19aee4124fa82d07e9ac6e421c2101b31,MRDS,Daba Shabeli Occurrence,Somalia,,"POINT (45.41775, 10.15065)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site621907f0070e88a556bdec556bf35d33d83a311c4c1ba983b449dedf73f5d846,MRDS,Musen,Germany,,"POINT (10.39592, 51.10531)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site194aea30804bfd7b54e3c6f5d3cee9f5e35a74d2fa853a132243df4a6997f62d,MRDS,Mouat Ni-Cu Verdegris Creek,United States,Montana,"POINT (-109.89635, 45.37992)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site91f9850dc15693d05a645dbb95864696e2dcac27147bb16359fb82d0d6773813,MRDS,Unknown - Lead-Copper-Nickle-Cobalt,United States,Missouri,"POINT (-90.2007, 37.46447)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site390bcf6902ea45be903fad070b0d3c13517742fdd8583c085715d958ad8f5f67,MRDS,Century 21,United States,Washington,"POINT (-120.71557, 47.43122)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_siteb66ab5347b7f8639ab84bb2d97b1b52ad4fb450ac1663760887f9f9012cc4ce6,MRDS,Nairne Pyrite Deposit,Australia,South Australia,"POINT (138.99876, -33.99613)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_site1469a8cdd0de23dc3f4eedd09300417710c26a0db3830adb205e7e470ea229e8,MRDS,(Facility) Goscote Smelter,United Kingdom,,"POINT (-1.96434, 52.58229)",EPSG:4326,nickel
https://minmod.isi.edu/resource/mineral_sitee7a393b9caef883aa0275594377fb8ac3b4966148b3bf57c43a3ebfd166e8330,MRDS,Benbow Ni-Cu,United States,Montana,"POINT (-109.8144, 45.3602)",EPSG:4326,nickel
