country,ms_uri,source_id,record_id,state_or_province,crs,other_names,site_name,commodity,deposit_type,link_method,GroupID
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10254442,https://mrdata.usgs.gov/mrds,10254442,Wyoming,EPSG:4326,Mormon Canyon,Brantford,"","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo",GEO,ALL2091
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10008743,https://mrdata.usgs.gov/mrds,10008743,Connecticut,EPSG:4326,"s Mine,Monroe Lane",Monroe (Lane,",,",Vein tungsten,GEO,ALL2092
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10017273,https://mrdata.usgs.gov/mrds,10017273,Colorado,EPSG:4326,Copeland Group (10263183),peland,"","Greisen tungsten- molybdenum±Bi,Porphyry tungsten,Skarn tungsten ± Mo,Vein tungsten",GEO,ALL2093
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10162345,https://mrdata.usgs.gov/mrds,10162345,Arizona,EPSG:4326,"",Dyke,",,,","Breccia pipe gold,Breccia pipe molybdenum",GEO,ALL2094
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10044338,https://mrdata.usgs.gov/mrds,10044338,Nevada,EPSG:4326,Red Top Claim,Placer Monazite,"Ytterbium,Gadolinium,Holmium,Thulium,Lutetium,Terbium,Praseodymium,Yttrium,Samarium,Europium,Erbium,Cerium,,Dysprosium,Neoymium,pper,Lanthanum","Fluvial placer REE,Peralkaline igneous HFSE- REE",GEO,ALL2095
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10103224,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10164895",https://mrdata.usgs.gov/mrds,"10164895,10103224",California,EPSG:4326,"Beauty Mountain Tungsten Mines,Beauty Mtn,Tungsten Mines",Teuscher,"","Greisen tungsten- molybdenum±Bi,Porphyry tungsten,Skarn tungsten ± Mo,Vein tungsten,Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo,Vein tungsten",GEO,ALL2096
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10226955,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10020860",https://mrdata.usgs.gov/mrds,"10020860,10226955",Utah,EPSG:4326,Skyline Mine,"Two R,S","pper,,,,","Skarn tungsten ± Mo,Skarn beryllium- fluorite,Skarn tungsten ± Mo",GEO,ALL2097
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10173890,https://mrdata.usgs.gov/mrds,10173890,Nevada,EPSG:4326,"Wahmonie Workings,Tamney Properties,Climax Stock","","","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo",GEO,ALL2098
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10295603,https://mrdata.usgs.gov/mrds,10295603,Nevada,EPSG:4326,Copley Tungsten Claims,Lava Beds,"","Greisen tungsten- molybdenum±Bi,Porphyry tungsten,Skarn tungsten ± Mo",GEO,ALL2099
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10294500,https://mrdata.usgs.gov/mrds,10294500,Nevada,EPSG:4326,"",Kerong   s,"","Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo,Vein tungsten",GEO,ALL2100
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10107907,https://mrdata.usgs.gov/mrds,10107907,New Mexico,EPSG:4326,Eighty-Five Group,Century,",",Supergene lead,GEO,ALL2102
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10001792,https://mrdata.usgs.gov/mrds,10001792,Alaska,EPSG:4326,"",Solomon River (lower),",","Fluvial placer gold,Shoreline placer gold",GEO,ALL2103
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10015815,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10130030",https://mrdata.usgs.gov/mrds,"10015815,10130030",Utah,EPSG:4326,"",Taylor Central,"pper,,,,pper,","Breccia pipe molybdenum,Greisen tungsten- molybdenum±Bi,Greisen tungsten- molybdenum±Bi,Skarn molybdenum,Skarn tungsten ± Mo",GEO,ALL2104
United States,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10247716,https://mrdata.usgs.gov/mrds,10247716,Nevada,EPSG:4326,"",s,"","Fluvial placer tungsten,Greisen tungsten- molybdenum±Bi,Skarn tungsten ± Mo",GEO,ALL2105
United States,"https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10008846,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10135453",https://mrdata.usgs.gov/mrds,"10008846,10135453",New Hampshire,EPSG:4326,"",North Groton,",,",Greisen tungsten- molybdenum±Bi,GEO,ALL2106
